"ï..credit_in_millions","Period"
0.8563,2000 Jan
0.8717,2000 Feb
0.9158,2000 Mar
0.929,2000 Apr
0.9661,2000 May
0.9875,2000 Jun
0.9883,2000 Jul
0.989,2000 Aug
1.0135,2000 Sep
1.0185,2000 Oct
1.0216,2000 Nov
1.0217,2000 Dec
1.0265,2001 Jan
1.028,2001 Feb
1.0371,2001 Mar
1.044,2001 Apr
1.044,2001 May
1.0602,2001 Jun
1.0679,2001 Jul
1.0683,2001 Aug
1.0685,2001 Sep
1.0691,2001 Oct
1.0736,2001 Nov
1.0865,2001 Dec
1.0888,2002 Jan
1.093,2002 Feb
1.1144,2002 Mar
1.1166,2002 Apr
1.1242,2002 May
1.1281,2002 Jun
1.1287,2002 Jul
1.1306,2002 Aug
1.1437,2002 Sep
1.1453,2002 Oct
1.1476,2002 Nov
1.1643,2002 Dec
1.1699,2003 Jan
1.1707,2003 Feb
1.175,2003 Mar
1.1757,2003 Apr
1.1804,2003 May
1.181,2003 Jun
1.1859,2003 Jul
1.189,2003 Aug
1.189,2003 Sep
1.1902,2003 Oct
1.1944,2003 Nov
1.2017,2003 Dec
1.2031,2004 Jan
1.2033,2004 Feb
1.2054,2004 Mar
1.2121,2004 Apr
1.2207,2004 May
1.2223,2004 Jun
1.2235,2004 Jul
1.2265,2004 Aug
1.2292,2004 Sep
1.2298,2004 Oct
1.23,2004 Nov
1.2304,2004 Dec
1.2312,2005 Jan
1.2342,2005 Feb
1.2398,2005 Mar
1.2401,2005 Apr
1.2414,2005 May
1.2417,2005 Jun
1.2417,2005 Jul
1.2435,2005 Aug
1.2453,2005 Sep
1.247,2005 Oct
1.2516,2005 Nov
1.2517,2005 Dec
1.2529,2006 Jan
1.2542,2006 Feb
1.2547,2006 Mar
1.2599,2006 Apr
1.2614,2006 May
1.2621,2006 Jun
1.2623,2006 Jul
1.2659,2006 Aug
1.268,2006 Sep
1.2704,2006 Oct
1.2713,2006 Nov
1.2717,2006 Dec
1.2797,2007 Jan
1.2798,2007 Feb
1.2798,2007 Mar
1.2803,2007 Apr
1.2809,2007 May
1.2827,2007 Jun
1.2848,2007 Jul
1.2857,2007 Aug
1.2864,2007 Sep
1.2882,2007 Oct
1.2894,2007 Nov
1.2932,2007 Dec
1.2971,2008 Jan
1.2978,2008 Feb
1.2986,2008 Mar
1.3034,2008 Apr
1.3068,2008 May
1.307,2008 Jun
1.3089,2008 Jul
1.3119,2008 Aug
1.3165,2008 Sep
1.3177,2008 Oct
1.3224,2008 Nov
1.3229,2008 Dec
1.323,2009 Jan
1.3268,2009 Feb
1.3283,2009 Mar
1.329,2009 Apr
1.3294,2009 May
1.3339,2009 Jun
1.3356,2009 Jul
1.3374,2009 Aug
1.3379,2009 Sep
1.3387,2009 Oct
1.3402,2009 Nov
1.3441,2009 Dec
1.3447,2010 Jan
1.3479,2010 Feb
1.3495,2010 Mar
1.35,2010 Apr
1.3539,2010 May
1.3541,2010 Jun
1.3553,2010 Jul
1.3585,2010 Aug
1.3585,2010 Sep
1.3618,2010 Oct
1.363,2010 Nov
1.3645,2010 Dec
1.3652,2011 Jan
1.3652,2011 Feb
1.3668,2011 Mar
1.3714,2011 Apr
1.3724,2011 May
1.3731,2011 Jun
1.3736,2011 Jul
1.374,2011 Aug
1.3774,2011 Sep
1.3785,2011 Oct
1.3807,2011 Nov
1.3831,2011 Dec
1.3836,2012 Jan
1.3838,2012 Feb
1.3857,2012 Mar
1.3859,2012 Apr
1.389,2012 May
1.3899,2012 Jun
1.3927,2012 Jul
1.3931,2012 Aug
1.3932,2012 Sep
1.3942,2012 Oct
1.3944,2012 Nov
1.3945,2012 Dec
1.3964,2013 Jan
1.3992,2013 Feb
1.4002,2013 Mar
1.4013,2013 Apr
1.4029,2013 May
1.4041,2013 Jun
1.4047,2013 Jul
1.4056,2013 Aug
1.4064,2013 Sep
1.4077,2013 Oct
1.412,2013 Nov
1.412,2013 Dec
1.4124,2014 Jan
1.4127,2014 Feb
1.413,2014 Mar
1.4132,2014 Apr
1.4138,2014 May
1.4155,2014 Jun
1.4175,2014 Jul
1.4183,2014 Aug
1.4191,2014 Sep
1.4193,2014 Oct
1.422,2014 Nov
1.4226,2014 Dec
1.423,2015 Jan
1.4255,2015 Feb
1.4266,2015 Mar
1.4266,2015 Apr
1.4271,2015 May
1.4286,2015 Jun
1.4286,2015 Jul
1.4299,2015 Aug
1.4303,2015 Sep
1.431,2015 Oct
1.4317,2015 Nov
1.4322,2015 Dec
1.4339,2016 Jan
1.4349,2016 Feb
1.4353,2016 Mar
1.436,2016 Apr
1.4387,2016 May
1.4403,2016 Jun
1.4411,2016 Jul
1.4417,2016 Aug
1.443,2016 Sep
1.445,2016 Oct
1.4458,2016 Nov
1.4471,2016 Dec
1.4542,2017 Jan
1.4549,2017 Feb
1.4564,2017 Mar
1.4578,2017 Apr
1.4588,2017 May
1.459,2017 Jun
1.4617,2017 Jul
1.4648,2017 Aug
1.4658,2017 Sep
1.4679,2017 Oct
1.4679,2017 Nov
1.469,2017 Dec
1.4724,2018 Jan
1.4737,2018 Feb
1.474,2018 Mar
1.4769,2018 Apr
1.4799,2018 May
1.4806,2018 Jun
1.4813,2018 Jul
1.4857,2018 Aug
1.4884,2018 Sep
1.4885,2018 Oct
1.4922,2018 Nov
1.493,2018 Dec
1.4943,2019 Jan
1.4951,2019 Feb
1.4974,2019 Mar
1.4976,2019 Apr
1.4976,2019 May
1.4981,2019 Jun
1.4991,2019 Jul
1.5004,2019 Aug
1.5012,2019 Sep
1.5019,2019 Oct
1.503,2019 Nov
1.5057,2019 Dec
1.5078,2020 Jan
1.5087,2020 Feb
1.512,2020 Mar
1.5124,2020 Apr
1.514,2020 May
1.5183,2020 Jun
1.5187,2020 Jul
1.5194,2020 Aug
1.5197,2020 Sep
1.5208,2020 Oct
1.5218,2020 Nov
1.5225,2020 Dec
1.5243,2021 Jan
1.5293,2021 Feb
1.5311,2021 Mar
1.5314,2021 Apr
1.5319,2021 May
1.5339,2021 Jun
1.5346,2021 Jul
1.5346,2021 Aug
1.5367,2021 Sep
1.5384,2021 Oct
1.5385,2021 Nov
1.5388,2021 Dec
1.5399,2022 Jan
1.5406,2022 Feb
1.5424,2022 Mar
1.5432,2022 Apr
1.5444,2022 May
1.5466,2022 Jun
1.5477,2022 Jul
1.5487,2022 Aug
1.5495,2022 Sep
1.5537,2022 Oct
1.5553,2022 Nov
1.5573,2022 Dec
1.5592,2023 Jan
1.5596,2023 Feb
1.5623,2023 Mar
1.5641,2023 Apr
1.5661,2023 May
1.5662,2023 Jun
1.5668,2023 Jul
1.5673,2023 Aug
1.5678,2023 Sep
1.5701,2023 Oct
1.5728,2023 Nov
1.5748,2023 Dec
1.5766,2024 Jan
1.5767,2024 Feb
1.5768,2024 Mar
1.5768,2024 Apr
1.5772,2024 May
1.5817,2024 Jun
1.5818,2024 Jul
1.5831,2024 Aug
1.5832,2024 Sep
1.5884,2024 Oct
1.5908,2024 Nov
1.5911,2024 Dec
1.5917,2025 Jan
1.5924,2025 Feb
1.5938,2025 Mar
1.5939,2025 Apr
1.5945,2025 May
1.5968,2025 Jun
1.5983,2025 Jul
1.6005,2025 Aug
1.6018,2025 Sep
1.6076,2025 Oct
1.6087,2025 Nov
1.6117,2025 Dec
1.6118,2026 Jan
1.6122,2026 Feb
1.6139,2026 Mar
1.6143,2026 Apr
1.6161,2026 May
1.6167,2026 Jun
1.6192,2026 Jul
1.6212,2026 Aug
1.6239,2026 Sep
1.6252,2026 Oct
1.6254,2026 Nov
1.6279,2026 Dec
1.628,2027 Jan
1.6283,2027 Feb
1.6288,2027 Mar
1.6329,2027 Apr
1.6382,2027 May
1.6397,2027 Jun
1.6419,2027 Jul
1.6425,2027 Aug
1.6427,2027 Sep
1.6429,2027 Oct
1.6442,2027 Nov
1.647,2027 Dec
1.6484,2028 Jan
1.6485,2028 Feb
1.6492,2028 Mar
1.6519,2028 Apr
1.655,2028 May
1.6596,2028 Jun
1.6598,2028 Jul
1.6598,2028 Aug
1.6602,2028 Sep
1.661,2028 Oct
1.662,2028 Nov
1.6672,2028 Dec
1.6697,2029 Jan
1.6705,2029 Feb
1.6712,2029 Mar
1.6721,2029 Apr
1.6737,2029 May
1.6746,2029 Jun
1.6767,2029 Jul
1.6772,2029 Aug
1.6777,2029 Sep
1.6781,2029 Oct
1.679,2029 Nov
1.6813,2029 Dec
1.6835,2030 Jan
1.6836,2030 Feb
1.6852,2030 Mar
1.6886,2030 Apr
1.689,2030 May
1.6895,2030 Jun
1.6905,2030 Jul
1.6907,2030 Aug
1.6907,2030 Sep
1.6976,2030 Oct
1.6979,2030 Nov
1.6984,2030 Dec
1.7001,2031 Jan
1.7026,2031 Feb
1.7029,2031 Mar
1.7042,2031 Apr
1.7051,2031 May
1.7065,2031 Jun
1.7066,2031 Jul
1.709,2031 Aug
1.7108,2031 Sep
1.7109,2031 Oct
1.7143,2031 Nov
1.7153,2031 Dec
1.7201,2032 Jan
1.725,2032 Feb
1.7271,2032 Mar
1.7287,2032 Apr
1.7288,2032 May
1.7313,2032 Jun
1.7329,2032 Jul
1.7332,2032 Aug
1.7334,2032 Sep
1.734,2032 Oct
1.7342,2032 Nov
1.7346,2032 Dec
1.7358,2033 Jan
1.7361,2033 Feb
1.7379,2033 Mar
1.7393,2033 Apr
1.7404,2033 May
1.7413,2033 Jun
1.7422,2033 Jul
1.7448,2033 Aug
1.746,2033 Sep
1.7468,2033 Oct
1.7507,2033 Nov
1.751,2033 Dec
1.7523,2034 Jan
1.7529,2034 Feb
1.755,2034 Mar
1.756,2034 Apr
1.7576,2034 May
1.7598,2034 Jun
1.7633,2034 Jul
1.765,2034 Aug
1.7683,2034 Sep
1.7684,2034 Oct
1.7706,2034 Nov
1.7716,2034 Dec
1.772,2035 Jan
1.7768,2035 Feb
1.7773,2035 Mar
1.7779,2035 Apr
1.779,2035 May
1.7801,2035 Jun
1.7805,2035 Jul
1.7814,2035 Aug
1.7827,2035 Sep
1.7833,2035 Oct
1.7844,2035 Nov
1.7852,2035 Dec
1.7885,2036 Jan
1.7898,2036 Feb
1.7927,2036 Mar
1.7949,2036 Apr
1.7968,2036 May
1.7978,2036 Jun
1.7991,2036 Jul
1.7995,2036 Aug
1.8006,2036 Sep
1.8006,2036 Oct
1.8018,2036 Nov
1.8029,2036 Dec
1.8041,2037 Jan
1.8047,2037 Feb
1.8069,2037 Mar
1.8073,2037 Apr
1.8075,2037 May
1.8092,2037 Jun
1.8099,2037 Jul
1.8109,2037 Aug
1.8133,2037 Sep
1.815,2037 Oct
1.8191,2037 Nov
1.8194,2037 Dec
1.8198,2038 Jan
1.8252,2038 Feb
1.8332,2038 Mar
1.8343,2038 Apr
1.8377,2038 May
1.8382,2038 Jun
1.8391,2038 Jul
1.8398,2038 Aug
1.8425,2038 Sep
1.8439,2038 Oct
1.8446,2038 Nov
1.8447,2038 Dec
1.845,2039 Jan
1.8469,2039 Feb
1.8469,2039 Mar
1.8472,2039 Apr
1.8693,2039 May
1.8712,2039 Jun
1.8734,2039 Jul
1.8736,2039 Aug
1.8793,2039 Sep
1.8803,2039 Oct
1.8806,2039 Nov
1.8957,2039 Dec
